,True Rating,Predicted Rating,True Genre,Predicted Genre
7,4.31,4.365,1,0
12,4.11,4.504,0,0
16,4.5,4.142999999999999,0,0
18,4.49,4.226999999999999,0,0
22,4.38,4.401,0,0
31,4.67,4.4959999999999996,0,0
32,4.19,4.281999999999999,0,0
33,4.62,4.388,1,0
45,4.12,4.3870000000000005,0,0
48,4.28,3.836,0,0
51,4.21,3.8319999999999994,0,0
54,4.95,4.759,0,0
61,4.61,4.416,0,0
64,4.48,4.5,0,0
66,4.32,3.8650000000000007,0,0
69,4.38,4.681,0,0
74,4.53,4.414999999999999,0,0
88,4.76,4.364,0,0
94,4.16,4.136,0,0
119,4.23,4.211,0,1
121,4.58,4.292999999999999,0,0
122,4.49,4.502000000000001,0,0
129,4.77,4.354,1,0
130,4.77,4.591,0,0
134,4.79,4.364,0,0
142,4.28,4.361,0,0
148,4.31,4.186999999999999,0,0
150,4.17,4.329,0,0
153,4.11,4.255999999999999,1,0
154,4.35,4.666000000000001,0,1
156,0.0,0.0,0,0
162,4.24,4.4239999999999995,0,0
166,4.11,4.414,0,0
169,4.94,4.514,0,0
181,4.51,4.3660000000000005,1,0
183,4.5,4.262,0,0
203,4.64,4.699,0,0
208,0.0,0.0,0,0
214,4.87,4.486,0,0
216,4.51,4.529999999999999,0,0
218,4.08,4.3790000000000004,0,0
219,5.0,4.817,0,0
220,4.27,4.365,0,0
221,4.39,4.307,0,0
230,3.69,4.183,0,0
231,4.36,4.536,0,0
242,4.59,4.2090000000000005,1,0
249,4.83,4.12,1,0
250,4.12,4.069,0,0
254,4.5,4.669000000000001,0,0
257,4.24,4.15,0,0
260,4.18,4.52,1,0
275,2.89,4.4719999999999995,0,0
276,3.49,4.441,0,0
278,4.17,4.425999999999999,0,0
292,4.33,4.457000000000001,0,0
295,4.78,4.345,0,0
308,4.13,4.205,0,0
319,3.96,4.077999999999999,0,0
321,4.3,4.430000000000001,0,0
322,4.26,4.409,0,0
323,4.64,4.441000000000001,0,0
325,4.96,4.569000000000001,0,0
333,4.4,4.289,0,0
337,4.69,4.723000000000001,0,0
342,4.58,4.367,0,0
344,4.2,4.263,0,0
350,3.59,4.381,1,0
368,4.2,4.5520000000000005,0,0
371,4.72,4.523000000000001,1,0
373,4.59,4.337999999999999,0,0
383,4.05,4.761000000000001,0,0
387,5.0,4.488999999999999,1,0
389,4.16,4.735000000000001,0,0
392,4.52,4.415,0,0
395,4.53,4.405,0,0
396,4.2,4.5280000000000005,0,0
399,4.75,4.492999999999999,0,0
404,4.59,4.272,0,0
409,3.82,4.466000000000001,0,0
412,4.77,4.557,0,0
415,4.29,4.308000000000001,0,0
429,4.43,4.452,0,0
434,4.29,4.313,0,0
438,3.73,4.2490000000000006,0,0
441,3.98,4.552,1,0
442,4.59,4.303999999999999,0,1
446,4.15,4.2170000000000005,0,1
451,4.36,4.1930000000000005,0,0
452,4.74,4.395999999999999,0,0
455,4.52,4.39,1,0
457,4.42,4.401999999999999,0,0
462,4.51,4.086,0,0
464,3.16,4.058,0,0
470,4.75,4.2540000000000004,0,0
473,4.54,4.664999999999999,0,0
480,4.14,4.148999999999999,0,0
484,4.59,4.397,0,0
491,1.83,4.215000000000001,0,0
501,4.07,3.9829999999999997,0,0
502,4.58,4.384,0,0
506,3.58,4.127999999999999,0,0
508,0.0,0.0,0,0
510,3.58,3.871,0,0
519,4.55,4.337,0,0
520,4.44,4.5230000000000015,0,0
522,4.36,4.731999999999999,0,0
524,4.2,4.143,1,0
539,1.9,3.7630000000000003,0,0
553,4.56,4.234999999999999,0,0
558,3.92,4.639000000000001,0,0
559,4.62,4.305000000000001,0,0
561,4.33,4.24,0,0
564,4.61,4.598000000000001,1,0
580,4.82,4.539000000000001,0,0
584,4.78,4.735,0,0
588,4.27,4.3790000000000004,1,0
596,4.35,4.609,0,0
603,4.28,4.603,0,0
604,5.0,3.5909999999999997,0,0
609,4.49,4.654999999999999,0,0
619,0.0,0.0,0,0
621,4.78,4.3020000000000005,0,0
625,3.86,4.364,0,0
627,3.47,4.439,0,0
631,3.98,4.462,0,0
638,4.43,4.455,0,0
641,4.01,4.569999999999999,0,0
646,4.31,4.670999999999999,0,0
647,4.46,4.3,0,0
648,4.17,4.276000000000001,0,0
649,4.33,4.072000000000001,0,0
651,4.25,4.447,0,0
652,4.54,4.524000000000001,0,0
659,4.76,3.968000000000001,0,1
668,3.97,4.484,0,0
671,4.0,4.234,0,0
672,4.3,4.234,0,1
683,4.1,4.6610000000000005,0,0
699,4.24,4.533999999999999,0,0
702,0.0,0.0,0,0
706,4.36,4.017,0,0
709,4.69,4.384,1,0
711,3.58,4.328,0,1
720,0.0,0.0,0,0
725,4.56,3.864,0,0
728,4.43,4.343,1,0
729,4.54,4.428,0,0
733,4.64,4.544,0,0
734,4.23,4.183000000000001,1,0
744,4.69,4.163,0,0
746,4.5,4.246,0,0
748,3.98,4.1770000000000005,0,0
754,4.45,4.481000000000001,0,0
764,4.69,4.458,0,0
771,4.67,4.3980000000000015,0,0
772,4.74,4.494,1,1
775,4.27,4.397,1,0
780,0.0,0.0,0,0
783,4.52,4.478000000000001,0,1
784,4.79,4.607,0,0
786,4.77,4.392999999999999,0,0
787,4.54,4.471,1,0
799,4.14,4.331,0,0
803,4.85,4.608,0,0
806,4.38,4.475999999999999,0,0
807,0.0,0.0,0,0
810,3.86,4.436999999999999,0,0
819,4.58,4.327,0,0
820,4.89,4.407,0,0
821,3.52,4.596,1,0
822,4.2,4.455,1,0
825,4.82,4.463000000000001,0,0
829,3.76,4.149,0,0
834,4.51,4.547,0,0
835,3.98,4.053000000000001,0,0
842,4.59,4.546,0,0
843,4.83,4.324,0,0
845,4.54,3.8289999999999993,1,0
847,4.37,4.328,0,0
849,4.36,4.613999999999999,1,0
850,3.64,4.427999999999999,1,0
854,4.58,4.024,0,0
858,4.01,4.346000000000001,0,1
871,4.44,4.429,1,1
874,4.18,4.2780000000000005,0,0
878,4.21,4.285,0,0
888,4.02,4.093000000000001,0,0
893,4.31,4.104,0,0
894,4.38,4.424999999999999,0,0
895,4.45,4.220000000000001,0,0
899,4.64,4.565,0,0
901,4.57,4.3199999999999985,0,0
910,4.0,4.517,0,0
914,4.58,4.388,1,0
926,4.83,4.541,1,1
927,4.08,4.398000000000001,0,0
939,4.09,4.544,0,0
940,4.09,4.363999999999999,0,0
958,0.0,0.0,0,0
962,4.51,4.159,0,0
966,4.31,4.474,0,0
967,4.0,4.398999999999999,0,0
978,4.94,4.385,0,0
979,4.66,4.514,0,0
985,4.84,4.313,0,0
994,4.72,4.536,0,0
1003,4.42,4.695000000000001,1,0
1005,5.0,4.32,0,0
1006,4.36,4.081,0,0
1008,0.0,0.0,0,0
1012,4.62,4.398000000000001,0,0
1017,3.9,4.5280000000000005,1,0
1020,4.65,4.256,0,0
1025,4.33,4.561,0,0
1027,4.53,4.519,1,0
1032,2.76,4.508,0,0
1035,4.04,4.523,1,0
1043,4.39,4.069,0,0
1054,4.61,4.2459999999999996,0,0
1058,4.22,4.188999999999999,0,0
1064,4.57,4.443,0,0
1072,4.66,4.475,1,1
1085,4.58,4.552999999999999,1,0
1101,4.26,4.295,1,0
1103,4.64,4.564,0,0
1105,4.5,4.509,0,1
1106,4.4,4.266,1,0
1115,4.36,4.333,0,0
1118,4.76,4.367,0,0
1119,4.55,4.349,0,0
1128,3.9,4.547000000000001,0,0
1147,4.3,4.787000000000001,0,0
1148,4.85,4.317,0,0
1151,5.0,4.1899999999999995,0,1
1158,5.0,4.14,0,0
1165,4.68,4.662000000000001,0,0
1170,4.09,4.216,0,0
1180,4.64,4.363999999999999,0,0
